Section,Offense,Punishment
IPC_187,Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both
IPC_188,"Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both
IPC_189,"Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both
IPC_190,Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both
IPC_150,"Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member
IPC_151,Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both
IPC_152,"Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both
IPC_224,Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both
IPC_225,"Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both
IPC_225A,"Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both
IPC_225B,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",6 Months or Fine or Both
IPC_226,nan,nan
IPC_191,nan,nan
IPC_192,nan,nan
IPC_193,Giving or fabricating false evidence in a judicial proceeding,7 Years + Fine
IPC_194,Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
IPC_195,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,Same As Offence
IPC_195A,Threatening any person to give false evidence,7 Years or Fine or Both
IPC_196,Using in a judicial proceeding evidence known to be false or fabricated,As For False Evidence
IPC_197,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence,As for False Evidence
IPC_198,Using as a true certificate one known to be false in a material point,As for False Evidence
IPC_199,False statement made in any declaration which by law receivable as evidence,As for False Evidence
IPC_200,Using as true any such declaration known to be false,As for False Evidence
IPC_201,"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence",7 Years + Fine
IPC_202,Intentional omission to give information of an offence by a person legally bound to inform,6 Months or Fine or Both
IPC_203,Giving false information respecting an offence committed,2 Years or Fine or Both
IPC_204,Secreting or destroying any document to prevent its production as evidence,2 Years or Fine or Both
IPC_205,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security",3 Years or Fine or Both
IPC_206,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree",2 Years or Fine or Both
IPC_207,"Claiming property without right, or practicing deception touching any right to it, to prevent its being taken as a forfeiture or in satisfaction of a Fine under sentence, or in execution of a decree",2 Years or Fine or Both
IPC_208,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied",2 Years or Fine or Both
IPC_209,False claim in a court of Justice,2 Years + Fine
IPC_210,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied",2 Years or Fine or Both
IPC_211,False charge of offence made with intent to injure,2 Years or Fine or Both
